City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bambous Virieux,MU,71.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
4,Kudahuvadhoo,MV,83.07,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
6,Nouadhibou,MR,71.78,overcast clouds,20.931,-17.0347,El Medina
13,Arraial do Cabo,BR,71.1,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
14,Karratha,AU,80.35,clear sky,-20.7377,116.8463,ibis Styles Karratha
15,Rikitea,PF,73.47,clear sky,-23.1203,-134.9692,People ThankYou
17,Launceston,AU,70.61,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
18,George Town,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
20,Japura,ID,80.26,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
28,Dhidhdhoo,MV,82.76,overcast clouds,6.8833,73.1,Dhidhoo beach
30,Vanimo,PG,82.67,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
32,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Yulara,AU,71.89,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
39,Ubari,LY,72.41,scattered clouds,26.5921,12.7805,فندق أوباري
40,Kathmandu,NP,68.22,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
41,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
47,Hithadhoo,MV,83.5,scattered clouds,-0.6,73.0833,Scoop Guest House
48,Bani Walid,LY,66.96,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
53,Picayune,US,75.09,overcast clouds,30.5255,-89.6795,Holiday Inn Express & Suites Picayune
57,Rancho San Diego,US,85.32,clear sky,32.7473,-116.9353,Lamplighter Village
58,Mariakani,KE,67.87,overcast clouds,-3.8633,39.4736,The County Luxury Comfort Hotels Ltd
63,Flinders,AU,77.05,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
64,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
65,Sinnamary,GF,80.53,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
68,Wanlaweyn,SO,74.91,broken clouds,2.6185,44.8938,GAASHAAN HOME
69,San Andrés,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
70,Kupang,ID,85.14,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
73,Saint-Joseph,RE,68.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
74,Soyo,AO,74.62,overcast clouds,-6.1349,12.3689,Hotel Mpampa
78,Mahébourg,MU,71.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
79,Santiago del Estero,AR,70.81,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
80,Quatre Cocos,MU,71.1,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
81,Mingguang,CN,86.31,few clouds,32.7802,117.9638,Yonghao Hotel
82,Vila Velha,BR,78.75,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
85,Nagarote,NI,78.57,clear sky,12.2659,-86.5647,Hospedaje Nagarote
87,Itarema,BR,78.53,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
90,Westport,US,70.99,clear sky,41.1415,-73.3579,The Westport Inn
93,Dingle,PH,83.84,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
96,Wajima,JP,73.58,clear sky,37.4,136.9,Wajiima Onsen Yashio
97,Katsuura,JP,75.31,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
99,Barrington,US,66.56,clear sky,41.7407,-71.3087,Beach Mansion
101,Ribeira Grande,PT,71.56,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
102,Isla Vista,US,78.98,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
105,Bengkulu,ID,81.16,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
107,Vila Franca do Campo,PT,73.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
110,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
111,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
112,Atuona,PF,78.1,clear sky,-9.8,-139.0333,Villa Enata
113,Saint George,US,81.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
115,Geraldton,AU,66.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
116,Sambava,MG,67.62,scattered clouds,-14.2667,50.1667,Melrose
117,Saint Anthony,US,67.24,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
119,Vao,NC,72.3,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
121,Wilmington,US,74.86,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
127,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
128,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
129,Cururupu,BR,75.65,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
131,Teguise,ES,66.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
135,Byron Bay,AU,85.05,few clouds,-28.65,153.6167,Backpackers Inn on the Beach
139,Hasaki,JP,79.2,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
145,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
151,Methóni,GR,65.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
152,Barabai,ID,84.99,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
154,Kavaratti,IN,81.28,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
155,Lubao,PH,87.15,broken clouds,14.9167,120.55,Hacienda Gracia
156,Kharsāwān,IN,78.87,overcast clouds,22.8,85.8333,Mohan pusty HOME
157,Namatanai,PG,86.18,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
158,Bethel,US,66.56,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
159,Shelburne,CA,66.13,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
162,Hilo,US,82.13,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
163,Tottori-shi,JP,78.91,clear sky,35.5,134.2333,Hotel Monarque Tottori
165,Linqing,CN,70.02,moderate rain,36.8456,115.7117,Dongfang Hotel
168,Lompoc,US,77.77,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
170,Soto la Marina,MX,76.46,broken clouds,23.7667,-98.2167,Hotel Chicago
177,Finschhafen,PG,82.78,overcast clouds,-6.6024,147.8681,Cossam Guest House
179,Hong Kong,HK,87.85,light rain,22.2855,114.1577,Mini Hotel Central
180,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
181,Terenos,BR,78.51,scattered clouds,-20.4422,-54.8603,Rancho Pitzer
183,Souillac,MU,71.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
190,Luanshya,ZM,67.75,broken clouds,-13.1367,28.4166,CHOLWA GUEST HOUSE
192,Alta Floresta,BR,70.09,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
194,Laguna,US,85.1,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
196,Caravelas,BR,75.2,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
197,Kulhudhuffushi,MV,82.89,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
201,Carnarvon,AU,69.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
202,Bubaque,GW,81.43,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
203,Leisure City,US,82.02,clear sky,25.4954,-80.4292,Hampton Inn & Suites Miami-South/Homestead
208,San Patricio,US,80.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
209,Guerrero Negro,MX,75.2,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
210,Xiazhen,CN,80.42,light rain,34.8022,117.1117,Xinjiayuan Hotel
213,Macapá,BR,85.98,few clouds,0.0389,-51.0664,Atalanta Hotel
214,La Asuncion,VE,80.67,broken clouds,11.0333,-63.8628,Colinas de Matasiete
215,Kandrian,PG,85.53,overcast clouds,-6.2167,149.55,Kandrian Station
