City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bambous Virieux,MU,-20.3428,57.7575,71.22,76,84,14.79,broken clouds
1,Bluff,NZ,-46.6,168.3333,55.8,73,100,5.14,light rain
2,Hermanus,ZA,-34.4187,19.2345,51.91,67,42,2.51,scattered clouds
3,Yershichi,RU,53.6725,32.7542,38.32,88,60,5.17,broken clouds
4,Kudahuvadhoo,MV,2.6708,72.8944,83.07,73,32,12.88,scattered clouds
5,Fort-Shevchenko,KZ,44.5086,50.263,52.68,47,6,16.89,clear sky
6,Nouadhibou,MR,20.931,-17.0347,71.78,85,97,12.41,overcast clouds
7,Pevek,RU,69.7008,170.3133,25.66,85,96,19.73,overcast clouds
8,Qaanaaq,GL,77.484,-69.3632,30.69,95,100,15.73,light snow
9,Tasiilaq,GL,65.6145,-37.6368,33.96,62,1,5.86,clear sky
10,Saint Paul Harbor,US,57.79,-152.4072,39.36,50,82,25.97,broken clouds
11,New Norfolk,AU,-42.7826,147.0587,56.91,97,100,2.53,overcast clouds
12,Barrow,US,71.2906,-156.7887,30.22,74,90,12.66,overcast clouds
13,Arraial do Cabo,BR,-22.9661,-42.0278,71.1,92,100,9.13,overcast clouds
14,Karratha,AU,-20.7377,116.8463,80.35,23,5,8.93,clear sky
15,Rikitea,PF,-23.1203,-134.9692,73.47,65,0,19.84,clear sky
16,Talnakh,RU,69.4865,88.3972,17.92,91,36,1.61,scattered clouds
17,Launceston,AU,-41.45,147.1667,70.61,59,40,3.0,scattered clouds
18,George Town,MY,5.4112,100.3354,85.95,81,20,0.0,few clouds
19,Mount Isa,AU,-20.7333,139.5,98.37,10,1,11.5,clear sky
20,Japura,ID,-0.3167,102.35,80.26,77,100,1.41,overcast clouds
21,Merauke,ID,-8.4667,140.3333,84.51,66,97,6.55,overcast clouds
22,Brus Laguna,HN,15.75,-84.4833,76.62,89,58,3.38,broken clouds
23,Bozoum,CF,6.3193,16.3799,68.43,93,100,0.43,overcast clouds
24,Cidreira,BR,-30.1811,-50.2056,63.48,82,22,11.59,few clouds
25,Albany,US,42.6001,-73.9662,61.59,88,36,1.01,scattered clouds
26,Gerede,TR,40.8008,32.1969,41.41,89,82,0.94,broken clouds
27,Kashgar,CN,39.4547,75.9797,60.26,25,91,7.83,overcast clouds
28,Dhidhdhoo,MV,6.8833,73.1,82.76,76,100,15.79,overcast clouds
29,Obo,CF,5.3998,26.4869,66.76,98,100,4.7,light rain
30,Vanimo,PG,-2.6741,141.3028,82.67,79,100,0.89,overcast clouds
31,Maniitsoq,GL,65.4167,-52.9,38.01,70,12,6.29,few clouds
32,Kapaa,US,22.0752,-159.319,84.18,71,90,4.0,light rain
33,Ushuaia,AR,-54.8,-68.3,40.66,75,40,9.22,scattered clouds
34,Chara,RU,56.9064,118.2631,35.91,53,9,1.77,clear sky
35,Yulara,AU,-25.2406,130.9889,71.89,23,0,4.52,clear sky
36,East London,ZA,-33.0153,27.9116,53.42,60,14,17.63,few clouds
37,Punta Arenas,CL,-53.15,-70.9167,41.11,81,75,4.61,light rain
38,Chui,UY,-33.6971,-53.4616,54.95,85,100,0.56,overcast clouds
39,Ubari,LY,26.5921,12.7805,72.41,39,50,4.99,scattered clouds
40,Kathmandu,NP,27.7167,85.3167,68.22,100,75,3.44,broken clouds
41,Salalah,OM,17.0151,54.0924,80.69,89,75,6.91,broken clouds
42,Prince Rupert,CA,54.3161,-130.3201,48.29,81,90,10.36,moderate rain
43,Pelotas,BR,-31.7719,-52.3425,57.85,92,60,4.83,light rain
44,Nikolskoye,RU,59.7035,30.7861,43.88,95,16,4.76,few clouds
45,Agia Marina,GR,37.75,23.5333,64.42,63,7,21.9,clear sky
46,Constitución,CL,-35.3333,-72.4167,49.48,54,0,15.9,clear sky
